Id,Name,Type,DataType
ga:dbmLastEventAdvertiserId,DV360 Advertiser ID (CM Model),dimension,string
ga:dbmLastEventCreativeId,DV360 Creative ID (CM Model),dimension,string
ga:dbmLastEventExchange,DV360 Exchange (CM Model),dimension,string
ga:dbmLastEventExchangeId,DV360 Exchange ID (CM Model),dimension,string
ga:dbmLastEventInsertionOrder,DV360 Insertion Order (CM Model),dimension,string
ga:dbmLastEventInsertionOrderId,DV360 Insertion Order ID (CM Model),dimension,string
ga:dbmLastEventLineItem,DV360 Line Item (CM Model),dimension,string
ga:dbmLastEventLineItemId,DV360 Line Item ID (CM Model),dimension,string
ga:dbmLastEventSite,DV360 Site (CM Model),dimension,string
ga:dbmLastEventSiteId,DV360 Site ID (CM Model),dimension,string
ga:dsAdGroup,SA360 Ad Group,dimension,string
ga:dsAdGroupId,SA360 Ad Group ID,dimension,string
ga:dsAdvertiser,SA360 Advertiser,dimension,string
ga:dsAdvertiserId,SA360 Advertiser ID,dimension,string
ga:dsAgency,SA360 Agency,dimension,string
ga:dsAgencyId,SA360 Agency ID,dimension,string
ga:dsCampaign,SA360 Campaign,dimension,string
ga:dsCampaignId,SA360 Campaign ID,dimension,string
ga:dsEngineAccount,SA360 Engine Account,dimension,string
ga:dsEngineAccountId,SA360 Engine Account ID,dimension,string
ga:dsKeyword,SA360 Keyword,dimension,string
ga:dsKeywordId,SA360 Keyword ID,dimension,string
ga:experimentCombination,Experiment ID with Variant,dimension,string
ga:internalPromotionCreative,Internal Promotion Creative,dimension,string
ga:internalPromotionId,Internal Promotion ID,dimension,string
ga:internalPromotionName,Internal Promotion Name,dimension,string
ga:internalPromotionPosition,Internal Promotion Position,dimension,string
ga:isTrueViewVideoAd,TrueView Video Ad,dimension,string
ga:metroId,Metro Id,dimension,string
ga:nthHour,Hour Index,dimension,string
ga:orderCouponCode,Order Coupon Code,dimension,string
ga:productBrand,Product Brand,dimension,string
ga:productCategoryHierarchy,Product Category (Enhanced Ecommerce),dimension,string
ga:productCouponCode,Product Coupon Code,dimension,string
ga:productListName,Product List Name,dimension,string
ga:productListPosition,Product List Position,dimension,string
ga:productVariant,Product Variant,dimension,string
ga:regionId,Region ID,dimension,string
ga:regionIsoCode,Region ISO Code,dimension,string
