ad_group_ad.ad.app_engagement_ad.videos,MESSAGE
ad_group_ad.ad.app_engagement_ad.videos.asset,RESOURCE_NAME
ad_group_ad.ad.app_pre_registration_ad.descriptions,MESSAGE
ad_group_ad.ad.app_pre_registration_ad.headlines,MESSAGE
ad_group_ad.ad.app_pre_registration_ad.images,MESSAGE
ad_group_ad.ad.app_pre_registration_ad.images.asset,RESOURCE_NAME
ad_group_ad.ad.app_pre_registration_ad.youtube_videos,MESSAGE
ad_group_ad.ad.app_pre_registration_ad.youtube_videos.asset,RESOURCE_NAME
ad_group_ad.ad.call_ad.business_name,STRING
ad_group_ad.ad.call_ad.call_tracked,BOOLEAN
ad_group_ad.ad.call_ad.conversion_action,RESOURCE_NAME
ad_group_ad.ad.call_ad.conversion_reporting_state,ENUM
ad_group_ad.ad.call_ad.country_code,STRING
ad_group_ad.ad.call_ad.description1,STRING
ad_group_ad.ad.call_ad.description2,STRING
ad_group_ad.ad.call_ad.disable_call_conversion,BOOLEAN
ad_group_ad.ad.call_ad.headline1,STRING
ad_group_ad.ad.call_ad.headline2,STRING
ad_group_ad.ad.call_ad.path1,STRING
ad_group_ad.ad.call_ad.path2,STRING
ad_group_ad.ad.call_ad.phone_number,STRING
ad_group_ad.ad.call_ad.phone_number_verification_url,STRING
ad_group_ad.ad.device_preference,ENUM
ad_group_ad.ad.discovery_carousel_ad.business_name,STRING
ad_group_ad.ad.discovery_carousel_ad.call_to_action_text,STRING
ad_group_ad.ad.discovery_carousel_ad.carousel_cards,MESSAGE
ad_group_ad.ad.discovery_carousel_ad.carousel_cards.asset,RESOURCE_NAME
ad_group_ad.ad.discovery_carousel_ad.description,MESSAGE
ad_group_ad.ad.discovery_carousel_ad.headline,MESSAGE
ad_group_ad.ad.discovery_carousel_ad.logo_image,MESSAGE
ad_group_ad.ad.discovery_carousel_ad.logo_image.asset,RESOURCE_NAME
ad_group_ad.ad.discovery_multi_asset_ad.business_name,STRING
ad_group_ad.ad.discovery_multi_asset_ad.call_to_action_text,STRING
ad_group_ad.ad.discovery_multi_asset_ad.descriptions,MESSAGE
ad_group_ad.ad.discovery_multi_asset_ad.headlines,MESSAGE
ad_group_ad.ad.discovery_multi_asset_ad.lead_form_only,BOOLEAN
ad_group_ad.ad.discovery_multi_asset_ad.logo_images,MESSAGE
ad_group_ad.ad.discovery_multi_asset_ad.logo_images.asset,RESOURCE_NAME
ad_group_ad.ad.discovery_multi_asset_ad.marketing_images,MESSAGE
ad_group_ad.ad.discovery_multi_asset_ad.marketing_images.asset,RESOURCE_NAME
ad_group_ad.ad.discovery_multi_asset_ad.portrait_marketing_images,MESSAGE
ad_group_ad.ad.discovery_multi_asset_ad.portrait_marketing_images.asset,RESOURCE_NAME
ad_group_ad.ad.discovery_multi_asset_ad.square_marketing_images,MESSAGE
ad_group_ad.ad.discovery_multi_asset_ad.square_marketing_images.asset,RESOURCE_NAME
ad_group_ad.ad.display_upload_ad.display_upload_product_type,ENUM
ad_group_ad.ad.display_upload_ad.media_bundle,MESSAGE
ad_group_ad.ad.display_upload_ad.media_bundle.asset,RESOURCE_NAME
ad_group_ad.ad.display_url,STRING
ad_group_ad.ad.expanded_dynamic_search_ad.description,STRING
ad_group_ad.ad.expanded_dynamic_search_ad.description2,STRING
ad_group_ad.ad.expanded_text_ad.description,STRING
ad_group_ad.ad.expanded_text_ad.description2,STRING
ad_group_ad.ad.expanded_text_ad.headline_part1,STRING
ad_group_ad.ad.expanded_text_ad.headline_part2,STRING
ad_group_ad.ad.expanded_text_ad.headline_part3,STRING
ad_group_ad.ad.expanded_text_ad.path1,STRING
ad_group_ad.ad.expanded_text_ad.path2,STRING
ad_group_ad.ad.final_app_urls,MESSAGE
ad_group_ad.ad.final_mobile_urls,STRING
ad_group_ad.ad.final_url_suffix,STRING
ad_group_ad.ad.final_urls,STRING
ad_group_ad.ad.hotel_ad,MESSAGE
ad_group_ad.ad.id,INT64
ad_group_ad.ad.image_ad.image_url,STRING
ad_group_ad.ad.image_ad.media_file,RESOURCE_NAME
ad_group_ad.ad.image_ad.mime_type,ENUM
ad_group_ad.ad.image_ad.name,STRING
ad_group_ad.ad.image_ad.pixel_height,INT64
ad_group_ad.ad.image_ad.pixel_width,INT64
ad_group_ad.ad.image_ad.preview_image_url,STRING
ad_group_ad.ad.image_ad.preview_pixel_height,INT64
ad_group_ad.ad.image_ad.preview_pixel_width,INT64
ad_group_ad.ad.legacy_app_install_ad,MESSAGE
ad_group_ad.ad.legacy_responsive_display_ad.accent_color,STRING
ad_group_ad.ad.legacy_responsive_display_ad.allow_flexible_color,BOOLEAN
ad_group_ad.ad.legacy_responsive_display_ad.business_name,STRING
ad_group_ad.ad.legacy_responsive_display_ad.call_to_action_text,STRING
ad_group_ad.ad.legacy_responsive_display_ad.description,STRING
ad_group_ad.ad.legacy_responsive_display_ad.format_setting,ENUM
ad_group_ad.ad.legacy_responsive_display_ad.logo_image,RESOURCE_NAME
ad_group_ad.ad.legacy_responsive_display_ad.long_headline,STRING
ad_group_ad.ad.legacy_responsive_display_ad.main_color,STRING
ad_group_ad.ad.legacy_responsive_display_ad.marketing_image,RESOURCE_NAME
ad_group_ad.ad.legacy_responsive_display_ad.price_prefix,STRING
ad_group_ad.ad.legacy_responsive_display_ad.promo_text,STRING
ad_group_ad.ad.legacy_responsive_display_ad.short_headline,STRING
ad_group_ad.ad.legacy_responsive_display_ad.square_logo_image,RESOURCE_NAME
ad_group_ad.ad.legacy_responsive_display_ad.square_marketing_image,RESOURCE_NAME
ad_group_ad.ad.local_ad.call_to_actions,MESSAGE
ad_group_ad.ad.local_ad.descriptions,MESSAGE
ad_group_ad.ad.local_ad.headlines,MESSAGE
ad_group_ad.ad.local_ad.logo_images,MESSAGE
ad_group_ad.ad.local_ad.logo_images.asset,RESOURCE_NAME
ad_group_ad.ad.local_ad.marketing_images,MESSAGE
ad_group_ad.ad.local_ad.marketing_images.asset,RESOURCE_NAME
ad_group_ad.ad.local_ad.path1,STRING
ad_group_ad.ad.local_ad.path2,STRING
ad_group_ad.ad.local_ad.videos,MESSAGE
ad_group_ad.ad.local_ad.videos.asset,RESOURCE_NAME
ad_group_ad.ad.name,STRING
ad_group_ad.ad.resource_name,RESOURCE_NAME
ad_group_ad.ad.responsive_display_ad.accent_color,STRING
ad_group_ad.ad.responsive_display_ad.allow_flexible_color,BOOLEAN
ad_group_ad.ad.responsive_display_ad.business_name,STRING
ad_group_ad.ad.responsive_display_ad.call_to_action_text,STRING
ad_group_ad.ad.responsive_display_ad.control_spec.enable_asset_enhancements,BOOLEAN
ad_group_ad.ad.responsive_display_ad.control_spec.enable_autogen_video,BOOLEAN
ad_group_ad.ad.responsive_display_ad.descriptions,MESSAGE
ad_group_ad.ad.responsive_display_ad.format_setting,ENUM
ad_group_ad.ad.responsive_display_ad.headlines,MESSAGE
ad_group_ad.ad.responsive_display_ad.logo_images,MESSAGE
ad_group_ad.ad.responsive_display_ad.logo_images.asset,RESOURCE_NAME
ad_group_ad.ad.responsive_display_ad.long_headline,MESSAGE
ad_group_ad.ad.responsive_display_ad.main_color,STRING
ad_group_ad.ad.responsive_display_ad.marketing_images,MESSAGE
ad_group_ad.ad.responsive_display_ad.marketing_images.asset,RESOURCE_NAME
ad_group_ad.ad.responsive_display_ad.price_prefix,STRING
ad_group_ad.ad.responsive_display_ad.promo_text,STRING
ad_group_ad.ad.responsive_display_ad.square_logo_images,MESSAGE
ad_group_ad.ad.responsive_display_ad.square_logo_images.asset,RESOURCE_NAME
ad_group_ad.ad.responsive_display_ad.square_marketing_images,MESSAGE
ad_group_ad.ad.responsive_display_ad.square_marketing_images.asset,RESOURCE_NAME
ad_group_ad.ad.responsive_display_ad.youtube_videos,MESSAGE
ad_group_ad.ad.responsive_display_ad.youtube_videos.asset,RESOURCE_NAME
ad_group_ad.ad.responsive_search_ad.descriptions,MESSAGE
ad_group_ad.ad.responsive_search_ad.headlines,MESSAGE
ad_group_ad.ad.responsive_search_ad.path1,STRING
ad_group_ad.ad.responsive_search_ad.path2,STRING
ad_group_ad.ad.shopping_comparison_listing_ad.headline,STRING
ad_group_ad.ad.shopping_product_ad,MESSAGE
ad_group_ad.ad.shopping_smart_ad,MESSAGE
ad_group_ad.ad.smart_campaign_ad.descriptions,MESSAGE
ad_group_ad.ad.smart_campaign_ad.headlines,MESSAGE
ad_group_ad.ad.system_managed_resource_source,ENUM
ad_group_ad.ad.text_ad.description1,STRING
ad_group_ad.ad.text_ad.description2,STRING
ad_group_ad.ad.text_ad.headline,STRING
ad_group_ad.ad.tracking_url_template,STRING
ad_group_ad.ad.travel_ad,MESSAGE
ad_group_ad.ad.type,ENUM
ad_group_ad.ad.url_collections,MESSAGE
ad_group_ad.ad.url_custom_parameters,MESSAGE
ad_group_ad.ad.video_ad.bumper.action_button_label,STRING
ad_group_ad.ad.video_ad.bumper.action_headline,STRING
ad_group_ad.ad.video_ad.bumper.companion_banner.asset,RESOURCE_NAME
ad_group_ad.ad.video_ad.in_feed.description1,STRING
ad_group_ad.ad.video_ad.in_feed.description2,STRING
ad_group_ad.ad.video_ad.in_feed.headline,STRING
ad_group_ad.ad.video_ad.in_feed.thumbnail,ENUM
ad_group_ad.ad.video_ad.in_stream.action_button_label,STRING
ad_group_ad.ad.video_ad.in_stream.action_headline,STRING
ad_group_ad.ad.video_ad.in_stream.companion_banner.asset,RESOURCE_NAME
ad_group_ad.ad.video_ad.non_skippable.action_button_label,STRING
ad_group_ad.ad.video_ad.non_skippable.action_headline,STRING
ad_group_ad.ad.video_ad.non_skippable.companion_banner.asset,RESOURCE_NAME
ad_group_ad.ad.video_ad.out_stream.description,STRING
ad_group_ad.ad.video_ad.out_stream.headline,STRING
ad_group_ad.ad.video_ad.video.asset,RESOURCE_NAME
ad_group_ad.ad.video_responsive_ad.breadcrumb1,STRING
ad_group_ad.ad.video_responsive_ad.breadcrumb2,STRING
ad_group_ad.ad.video_responsive_ad.call_to_actions,MESSAGE
ad_group_ad.ad.video_responsive_ad.companion_banners,MESSAGE
ad_group_ad.ad.video_responsive_ad.companion_banners.asset,RESOURCE_NAME
ad_group_ad.ad.video_responsive_ad.descriptions,MESSAGE
ad_group_ad.ad.video_responsive_ad.headlines,MESSAGE
ad_group_ad.ad.video_responsive_ad.long_headlines,MESSAGE
ad_group_ad.ad.video_responsive_ad.videos,MESSAGE
ad_group_ad.ad.video_responsive_ad.videos.asset,RESOURCE_NAME
ad_group_ad.ad_group,RESOURCE_NAME
ad_group_ad.ad_strength,ENUM
ad_group_ad.labels,RESOURCE_NAME
ad_group_ad.policy_summary.approval_status,ENUM
ad_group_ad.policy_summary.policy_topic_entries,MESSAGE
ad_group_ad.policy_summary.review_status,ENUM
ad_group_ad.resource_name,RESOURCE_NAME
ad_group_ad.status,ENUM
ad_group_ad_asset_combination_view.enabled,BOOLEAN
ad_group_ad_asset_combination_view.resource_name,RESOURCE_NAME
ad_group_ad_asset_combination_view.served_assets,MESSAGE
ad_group_ad_asset_view.ad_group_ad,RESOURCE_NAME
ad_group_ad_asset_view.asset,RESOURCE_NAME
ad_group_ad_asset_view.enabled,BOOLEAN
ad_group_ad_asset_view.field_type,ENUM
ad_group_ad_asset_view.performance_label,ENUM
ad_group_ad_asset_view.pinned_field,ENUM
ad_group_ad_asset_view.policy_summary,MESSAGE
ad_group_ad_asset_view.resource_name,RESOURCE_NAME
ad_group_ad_label.ad_group_ad,RESOURCE_NAME
ad_group_ad_label.label,RESOURCE_NAME
ad_group_ad_label.resource_name,RESOURCE_NAME
ad_group_asset.ad_group,RESOURCE_NAME
ad_group_asset.asset,RESOURCE_NAME
ad_group_asset.field_type,ENUM
ad_group_asset.primary_status,ENUM
ad_group_asset.primary_status_details,MESSAGE
ad_group_asset.primary_status_reasons,ENUM
ad_group_asset.resource_name,RESOURCE_NAME
ad_group_asset.source,ENUM
ad_group_asset.status,ENUM
ad_group_asset_set.ad_group,RESOURCE_NAME
ad_group_asset_set.asset_set,RESOURCE_NAME
ad_group_asset_set.resource_name,RESOURCE_NAME
ad_group_asset_set.status,ENUM
ad_group_audience_view.resource_name,RESOURCE_NAME
ad_group_bid_modifier.ad_group,RESOURCE_NAME
ad_group_bid_modifier.base_ad_group,RESOURCE_NAME
ad_group_bid_modifier.bid_modifier,DOUBLE
ad_group_bid_modifier.bid_modifier_source,ENUM
ad_group_bid_modifier.criterion_id,INT64
ad_group_bid_modifier.device.type,ENUM
ad_group_bid_modifier.hotel_advance_booking_window.max_days,INT64
ad_group_bid_modifier.hotel_advance_booking_window.min_days,INT64
ad_group_bid_modifier.hotel_check_in_date_range.end_date,STRING
ad_group_bid_modifier.hotel_check_in_date_range.start_date,STRING
ad_group_bid_modifier.hotel_check_in_day.day_of_week,ENUM
ad_group_bid_modifier.hotel_date_selection_type.type,ENUM
ad_group_bid_modifier.hotel_length_of_stay.max_nights,INT64
ad_group_bid_modifier.hotel_length_of_stay.min_nights,INT64
ad_group_bid_modifier.resource_name,RESOURCE_NAME
ad_group_criterion.ad_group,RESOURCE_NAME
ad_group_criterion.age_range.type,ENUM
ad_group_criterion.app_payment_model.type,ENUM
ad_group_criterion.approval_status,ENUM
ad_group_criterion.audience.audience,RESOURCE_NAME
ad_group_criterion.bid_modifier,DOUBLE
ad_group_criterion.combined_audience.combined_audience,RESOURCE_NAME
ad_group_criterion.cpc_bid_micros,INT64
ad_group_criterion.cpm_bid_micros,INT64
ad_group_criterion.cpv_bid_micros,INT64
ad_group_criterion.criterion_id,INT64
ad_group_criterion.custom_affinity.custom_affinity,RESOURCE_NAME
ad_group_criterion.custom_audience.custom_audience,RESOURCE_NAME
ad_group_criterion.custom_intent.custom_intent,RESOURCE_NAME
ad_group_criterion.disapproval_reasons,STRING
ad_group_criterion.display_name,STRING
ad_group_criterion.effective_cpc_bid_micros,INT64
ad_group_criterion.effective_cpc_bid_source,ENUM
ad_group_criterion.effective_cpm_bid_micros,INT64
ad_group_criterion.effective_cpm_bid_source,ENUM
ad_group_criterion.effective_cpv_bid_micros,INT64
ad_group_criterion.effective_cpv_bid_source,ENUM
ad_group_criterion.effective_percent_cpc_bid_micros,INT64
ad_group_criterion.effective_percent_cpc_bid_source,ENUM
ad_group_criterion.final_mobile_urls,STRING
ad_group_criterion.final_url_suffix,STRING
ad_group_criterion.final_urls,STRING
ad_group_criterion.gender.type,ENUM
ad_group_criterion.income_range.type,ENUM
ad_group_criterion.keyword.match_type,ENUM
ad_group_criterion.keyword.text,STRING
ad_group_criterion.labels,RESOURCE_NAME
ad_group_criterion.listing_group.case_value.activity_country.value,RESOURCE_NAME
ad_group_criterion.listing_group.case_value.activity_id.value,STRING
ad_group_criterion.listing_group.case_value.activity_rating.value,INT64
ad_group_criterion.listing_group.case_value.hotel_city.city_criterion,RESOURCE_NAME
ad_group_criterion.listing_group.case_value.hotel_class.value,INT64
ad_group_criterion.listing_group.case_value.hotel_country_region.country_region_criterion,RESOURCE_NAME
ad_group_criterion.listing_group.case_value.hotel_id.value,STRING
ad_group_criterion.listing_group.case_value.hotel_state.state_criterion,RESOURCE_NAME
ad_group_criterion.listing_group.case_value.product_bidding_category.id,INT64
ad_group_criterion.listing_group.case_value.product_bidding_category.level,ENUM
ad_group_criterion.listing_group.case_value.product_brand.value,STRING
ad_group_criterion.listing_group.case_value.product_channel.channel,ENUM
ad_group_criterion.listing_group.case_value.product_channel_exclusivity.channel_exclusivity,ENUM
ad_group_criterion.listing_group.case_value.product_condition.condition,ENUM
ad_group_criterion.listing_group.case_value.product_custom_attribute.index,ENUM
ad_group_criterion.listing_group.case_value.product_custom_attribute.value,STRING
ad_group_criterion.listing_group.case_value.product_item_id.value,STRING
ad_group_criterion.listing_group.case_value.product_type.level,ENUM
ad_group_criterion.listing_group.case_value.product_type.value,STRING
ad_group_criterion.listing_group.parent_ad_group_criterion,RESOURCE_NAME
ad_group_criterion.listing_group.type,ENUM
ad_group_criterion.mobile_app_category.mobile_app_category_constant,RESOURCE_NAME
ad_group_criterion.mobile_application.app_id,STRING
ad_group_criterion.mobile_application.name,STRING
ad_group_criterion.negative,BOOLEAN
ad_group_criterion.parental_status.type,ENUM
ad_group_criterion.percent_cpc_bid_micros,INT64
ad_group_criterion.placement.url,STRING
ad_group_criterion.position_estimates.estimated_add_clicks_at_first_position_cpc,INT64
ad_group_criterion.position_estimates.estimated_add_cost_at_first_position_cpc,INT64
ad_group_criterion.position_estimates.first_page_cpc_micros,INT64
ad_group_criterion.position_estimates.first_position_cpc_micros,INT64
ad_group_criterion.position_estimates.top_of_page_cpc_micros,INT64
ad_group_criterion.quality_info.creative_quality_score,ENUM
ad_group_criterion.quality_info.post_click_quality_score,ENUM
ad_group_criterion.quality_info.quality_score,INT32
ad_group_criterion.quality_info.search_predicted_ctr,ENUM
ad_group_criterion.resource_name,RESOURCE_NAME
ad_group_criterion.status,ENUM
ad_group_criterion.system_serving_status,ENUM
ad_group_criterion.topic.path,STRING
ad_group_criterion.topic.topic_constant,RESOURCE_NAME
ad_group_criterion.tracking_url_template,STRING
ad_group_criterion.type,ENUM
ad_group_criterion.url_custom_parameters,MESSAGE
ad_group_criterion.user_interest.user_interest_category,RESOURCE_NAME
ad_group_criterion.user_list.user_list,RESOURCE_NAME
ad_group_criterion.webpage.conditions,MESSAGE
ad_group_criterion.webpage.coverage_percentage,DOUBLE
ad_group_criterion.webpage.criterion_name,STRING
ad_group_criterion.webpage.sample.sample_urls,STRING
ad_group_criterion.youtube_channel.channel_id,STRING
ad_group_criterion.youtube_video.video_id,STRING
ad_group_criterion_customizer.ad_group_criterion,RESOURCE_NAME
